filterNo, filterSize, epochs, batch_size, drop_rate, activFunction, optimizer, Loss, Accuracy
64,3,100,2,0.3,relu,Adam,0.815468517,0.750
64,3,100,10,0.7,relu,Adam,0.805603415,0.700
64,3,100,10,0.8,relu,Adam,0.648522973,0.700
64,3,100,5,0.5,relu,Adam,0.845411018,0.700
64,3,100,4,0.5,relu,Adam,0.721278152,0.700
64,3,100,10,0.1,relu,Adam,0.786382914,0.700
64,3,100,5,0.7,relu,Adam,1.047737777,0.650
64,3,100,5,0.1,relu,Adam,0.866875269,0.650
64,3,100,5,0.3,relu,Adam,0.646905981,0.650
64,3,100,10,0.5,relu,Adam,1.212804556,0.650
64,3,100,2,0.5,relu,Adam,0.846094972,0.650
64,3,100,4,0.1,relu,Adam,1.006403366,0.650
64,3,100,4,0.3,relu,Adam,1.159122646,0.650
64,3,100,4,0.7,relu,Adam,0.83178063,0.600
64,3,100,10,0.3,relu,Adam,1.895883799,0.550
64,3,100,5,0.8,relu,Adam,0.741803408,0.500
64,3,100,5,0.9,relu,Adam,0.693147212,0.500
64,3,100,10,0.9,relu,Adam,0.768612564,0.500
64,3,100,2,0.1,relu,Adam,8.059047719,0.500
64,3,100,2,0.8,relu,Adam,0.685082647,0.500
64,3,100,2,0.9,relu,Adam,0.693152648,0.500
64,3,100,4,0.8,relu,Adam,0.8171085,0.500
64,3,100,4,0.9,relu,Adam,0.872917426,0.450
64,3,100,2,0.7,relu,Adam,1.018650502,0.400
